Max Aarons,29,2,2,0.53,18,69,+0.08,25.5,60.0
Che Adams,13,7,4,1.03,25,40,-0.08,28.5,36.1
Rayan A?t-Nouri,17,3,12,1.13,25,26,+0.18,18.6,33.6
Kristoffer Ajer,17,1,3,1.29,28,31,+0.18,27.7,29.8
Nathan Ak?,8,4,22,2.64,19,3,-0.49,20.3,5.3
Marc Albrighton,11,6,17,1.35,17,24,-0.95,13.3,24.6
Thiago Alc?ntara,5,8,1,2.64,43,7,+0.59,42.7,10.9
Trent Alexander-Arnold,30,0,2,2.38,80,22,+0.24,74.1,30.0
Alisson,36,0,0,2.44,87,24,-0.75,84.1,32.1
Allan,17,3,5,1.14,26,38,+0.31,27.5,32.8
Dele Alli,5,2,9,1.40,6,13,-2.13,8.6,11.2
Dele Alli1,0,10,7,0.91,7,10,-0.21,3.7,8.5
Miguel Almir?n,5,11,6,1.20,16,32,-0.73,16.6,30.6
Marcos Alonso,16,3,6,1.64,42,22,-0.82,37.0,21.2
Steven Alzate,1,4,18,1.11,3,7,-0.95,3.5,7.0
Daniel Amartey,22,5,6,1.50,35,40,-0.77,26.0,36.3
Joachim Andersen,31,2,0,1.32,44,37,+0.75,40.4,35.8
Michail Antonio,23,2,1,1.56,55,43,+0.96,45.8,43.7
Cameron Archer,0,3,9,1.00,1,0,+3.41,0.2,0.8
Alphonse Areola,1,0,37,0.00,0,1,-1.27,0.3,1.9
Adam Armstrong,10,6,14,0.87,12,31,-0.99,16.6,28.9
Stuart Armstrong,8,10,2,1.32,17,30,-0.29,19.1,29.4
Kepa Arrizabalaga,4,0,34,1.75,6,2,-0.15,4.4,2.7
Harrison Ashby,0,1,7,0.00,0,1,-13.12,0.1,0.1
Pierre-Emerick Aubameyang,7,2,0,1.64,17,16,-0.37,16.6,16.4
Jordan Ayew,10,8,6,1.13,31,31,-0.26,27.1,25.4
Luke Ayling,23,0,0,0.85,30,66,-1.35,30.8,50.9
