Patrick van Aanholt,30,27,2,1,0,0,0,3,2,1,0,0,0,0
Tammy Abraham,17,9,0,2,4,2,0,2,1,0,0,0,1,0
Che Adams,68,50,0,2,7,9,0,7,6,0,0,0,1,0
Tosin Adarabioyo,18,18,0,0,0,0,0,1,1,0,0,0,0,0
Adri?n,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Ag?ero,18,13,0,3,1,0,1,3,2,0,1,0,0,0
Ola Aina,27,23,3,0,0,1,0,4,4,0,0,0,0,0
Rayan A?t-Nouri,32,21,4,6,0,1,0,1,1,0,0,0,0,0
Semi Ajayi,14,13,0,1,0,0,0,2,2,0,0,0,0,0
Nathan Ak?,5,4,0,0,0,1,0,1,1,0,0,0,0,0
Marc Albrighton,77,59,5,5,2,3,3,12,8,2,0,1,0,1
Thiago Alc?ntara,81,69,2,2,3,3,2,3,2,0,0,1,0,0
Toby Alderweireld,22,19,0,0,3,0,0,3,3,0,0,0,0,0
R?nar Alex R?narsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,131,84,34,6,7,0,0,13,8,2,1,2,0,0
Ezgjan Alioski,71,57,5,0,5,3,1,5,3,1,0,1,0,0
Alisson,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Allan,39,33,1,4,1,0,0,2,2,0,0,0,0,0
Dele Alli,22,19,0,0,1,1,1,0,0,0,0,0,0,0
Miguel Almir?n,76,54,3,8,4,5,2,6,4,0,0,1,0,1
Marcos Alonso,36,29,2,0,5,0,0,3,2,0,0,1,0,0
Steven Alzate,24,20,0,1,3,0,0,1,1,0,0,0,0,0
Daniel Amartey,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,20,17,2,0,0,1,0,0,0,0,0,0,0,0
Joachim Andersen,30,28,0,0,1,1,0,3,3,0,0,0,0,0
Elliot Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,76,41,1,10,8,16,0,11,5,1,0,2,3,0
Alphonse Areola,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Stuart Armstrong,91,64,3,7,6,8,3,15,7,0,2,3,2,1
Kepa Arrizabalaga,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,48,40,0,3,2,3,0,7,6,0,1,0,0,0
Serge Aurier,38,26,1,4,4,1,2,5,3,1,1,0,0,0
Charlie Austin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Ayew,39,26,0,2,5,6,0,7,5,0,0,1,1,0
Luke Ayling,52,43,2,3,1,3,0,4,4,0,0,0,0,0
C?sar Azpilicueta,50,45,2,0,1,1,1,6,5,0,0,1,0,0
Eric Bailly,4,4,0,0,0,0,0,1,1,0,0,0,0,0
Fabi?n Balbuena,2,2,0,0,0,0,0,0,0,0,0,0,0,0
George Baldock,35,30,1,1,3,0,0,2,1,0,0,1,0,0
Gareth Bale,47,26,7,9,3,2,0,6,3,1,0,2,0,0
Patrick Bamford,65,46,0,5,10,4,0,16,9,0,2,2,3,0
Phil Bardsley,4,2,0,1,0,1,0,0,0,0,0,0,0,0
Ross Barkley,76,44,19,8,2,2,1,5,2,1,0,1,1,0
Ross Barkley1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Barnes,41,28,0,0,6,5,2,2,0,0,0,1,1,0
Harvey Barnes,71,49,0,7,8,7,0,10,8,0,1,0,1,0
Kyle Bartley,14,11,0,0,2,0,1,2,2,0,0,0,0,0
Chris Basham,25,19,1,3,0,2,0,2,0,1,1,0,0,0
Michy Batshuayi,23,15,1,4,0,3,0,3,2,0,0,0,1,0
Jan Bednarek,21,16,1,0,4,0,0,2,2,0,0,0,0,0
Donny van de Beek,12,10,0,1,0,1,0,2,1,0,0,0,1,0
H?ctor Beller?n,46,43,0,0,2,1,0,7,6,0,0,0,1,0
Sa?d Benrahma,64,53,0,4,3,3,1,10,10,0,0,0,0,0
Josh Benson,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Christian Benteke,40,31,0,4,2,1,2,4,2,0,1,0,0,1
Gaetano Berardi,1,0,0,0,1,0,0,0,0,0,0,0,0,0
J?hann Berg Gu?mundsson,27,22,0,1,1,3,0,0,0,0,0,0,0,0
Sander Berge,23,20,0,2,1,0,0,1,0,0,0,1,0,0
